Timestamp,Zone,Temperature(C),Humidity(%),Pressure(hPa),Altitude(m),Light(lx),Sound(dB)
2026-08-19 16:12:33,ZONE_A,30.34,80.00,1000.02,100.34,8264.17,50.0
2026-08-19 16:12:35,ZONE_A,30.32,80.00,1000.06,100.03,6990.00,59.0
2026-08-19 16:12:37,ZONE_A,30.32,80.00,1000.05,100.13,7064.17,43.0
2026-08-19 16:12:39,ZONE_A,30.31,80.00,1000.02,100.37,7498.33,59.0
2026-08-19 16:12:41,ZONE_A,30.32,80.00,1000.02,100.34,7230.83,58.0
2026-08-19 16:12:43,ZONE_A,30.33,80.00,1000.03,100.29,7501.67,54.0
2026-08-19 16:12:45,ZONE_A,30.34,81.00,1000.06,100.01,6505.00,55.0
2026-08-19 16:12:47,ZONE_A,30.33,81.00,1000.06,100.01,6130.00,60.0
2026-08-19 16:12:49,ZONE_A,30.29,81.00,1000.04,100.21,5796.67,55.0
2026-08-19 16:12:51,ZONE_A,30.28,81.00,1000.03,100.28,5683.33,58.0
2026-08-19 16:12:53,ZONE_A,30.30,81.00,1000.02,100.38,5708.33,54.0
2026-08-19 16:12:55,ZONE_A,30.31,81.00,1000.02,100.32,5784.17,59.0
2026-08-19 16:12:57,ZONE_A,30.32,81.00,1000.03,100.26,5861.67,52.0
2026-08-19 16:12:59,ZONE_A,30.30,82.00,1000.02,100.36,5881.67,59.0
2026-08-19 16:13:01,ZONE_A,30.29,82.00,1000.00,100.54,6174.17,55.0
2026-08-19 16:13:03,ZONE_A,30.23,82.00,1000.03,100.29,6474.17,49.0
2026-08-19 16:13:05,ZONE_A,30.18,82.00,1000.08,99.84,6888.33,58.0
2026-08-19 16:13:07,ZONE_A,30.15,82.00,1000.04,100.17,6503.33,54.0
2026-08-19 16:13:09,ZONE_A,30.14,82.00,1000.07,99.96,6747.50,57.0
2026-08-19 16:13:11,ZONE_A,30.12,82.00,1000.05,100.08,6586.67,39.0
2026-08-19 16:13:13,ZONE_A,30.12,82.00,1000.09,99.80,6742.50,56.0
2026-08-19 16:13:15,ZONE_A,30.09,82.00,1000.08,99.87,6666.67,58.0
2026-08-19 16:13:17,ZONE_A,30.06,82.00,1000.06,99.99,7035.00,51.0
2026-08-19 16:13:19,ZONE_A,30.09,82.00,1000.18,99.03,2963.33,56.0
2026-08-19 16:13:21,ZONE_A,30.13,82.00,1000.17,99.05,5556.67,67.0
2026-08-19 16:13:23,ZONE_A,30.17,82.00,1000.19,98.89,6423.33,59.0
2026-08-19 16:13:25,ZONE_A,30.16,82.00,1000.18,98.97,6706.67,51.0
2026-08-19 16:13:27,ZONE_A,30.17,83.00,1000.19,98.95,6758.33,45.0
2026-08-19 16:13:29,ZONE_A,30.15,83.00,1000.19,98.91,6820.00,54.0
2026-08-19 16:13:31,ZONE_A,30.15,83.00,1000.15,99.27,7440.83,58.0
2026-08-19 16:13:33,ZONE_A,30.18,84.00,1000.19,98.90,7460.83,50.0
2026-08-19 16:13:35,ZONE_A,30.19,84.00,1000.16,99.16,7335.83,50.0
2026-08-19 16:13:37,ZONE_A,30.20,84.00,1000.19,98.93,7315.83,49.0
2026-08-19 16:13:39,ZONE_A,30.21,85.00,1000.17,99.06,7305.83,51.0
2026-08-19 16:13:41,ZONE_A,30.24,85.00,1000.17,99.09,7188.33,76.0
2026-08-19 16:13:43,ZONE_A,30.21,85.00,1000.19,98.88,7269.17,68.0
2026-08-19 16:13:45,ZONE_A,30.22,86.00,1000.19,98.89,7251.67,66.0
2026-08-19 16:13:47,ZONE_A,30.22,86.00,1000.18,98.99,5235.83,55.0
2026-08-19 16:13:49,ZONE_A,30.22,86.00,1000.18,99.00,4750.83,50.0
2026-08-19 16:13:51,ZONE_A,30.22,86.00,1000.15,99.22,6781.67,55.0
2026-08-19 16:13:53,ZONE_A,30.18,87.00,1000.19,98.93,6855.83,53.0
2026-08-19 16:13:55,ZONE_A,30.16,87.00,1000.20,98.79,4435.83,48.0
2026-08-19 16:13:57,ZONE_A,30.10,87.00,1000.07,100.06,6238.33,54.0
2026-08-19 16:13:59,ZONE_A,30.06,87.00,1000.03,100.30,5895.00,65.0
2026-08-19 16:14:01,ZONE_A,30.05,86.00,1000.07,99.90,5713.33,63.0
2026-08-19 16:14:03,ZONE_A,30.00,86.00,1000.02,100.36,6274.17,49.0
2026-08-19 16:14:05,ZONE_A,29.96,85.00,999.96,100.82,7100.83,48.0
2026-08-19 16:14:07,ZONE_A,29.92,85.00,1000.00,100.48,6613.33,51.0
2026-08-19 16:14:09,ZONE_A,29.90,85.00,999.98,100.72,6690.83,49.0
2026-08-19 16:14:11,ZONE_A,29.86,84.00,1000.08,99.84,5821.67,30.0
2026-08-19 16:14:13,ZONE_A,29.80,84.00,1000.13,99.42,5431.67,54.0
2026-08-19 16:14:15,ZONE_A,29.77,84.00,1000.13,99.40,5220.00,50.0
2026-08-19 16:14:17,ZONE_A,29.73,84.00,1000.11,99.58,5450.00,87.0
2026-08-19 16:14:19,ZONE_A,29.69,84.00,1000.05,100.08,6554.17,58.0
2026-08-19 16:14:21,ZONE_A,29.69,84.00,1000.00,100.51,6621.67,53.0
2026-08-19 16:14:23,ZONE_A,29.71,84.00,1000.04,100.16,6602.50,59.0
2026-08-19 16:14:25,ZONE_A,29.72,84.00,1000.00,100.48,6378.33,65.0
2026-08-19 16:14:27,ZONE_A,29.72,85.00,1000.06,100.01,4382.50,55.0
2026-08-19 16:14:29,ZONE_A,29.68,84.00,1000.06,100.03,4120.83,48.0
2026-08-19 16:14:31,ZONE_A,29.62,84.00,1000.14,99.35,3796.67,62.0
2026-08-19 16:14:33,ZONE_A,29.60,85.00,1000.14,99.34,4132.50,48.0
2026-08-19 16:14:35,ZONE_A,29.57,85.00,1000.18,98.99,2692.50,50.0
2026-08-19 16:14:37,ZONE_A,29.56,85.00,1000.24,98.45,2395.00,39.0
2026-08-19 16:14:39,ZONE_A,29.51,85.00,1000.15,99.26,2648.33,55.0
2026-08-19 16:14:41,ZONE_A,29.51,85.00,1000.13,99.39,2715.83,59.0
2026-08-19 16:14:43,ZONE_A,29.47,85.00,1000.14,99.36,2734.17,59.0
2026-08-19 16:14:45,ZONE_A,29.45,85.00,1000.16,99.18,4755.83,57.0
2026-08-19 16:14:47,ZONE_A,29.45,85.00,1000.12,99.54,3578.33,72.0
2026-08-19 16:14:49,ZONE_A,29.45,85.00,1000.12,99.52,5380.00,61.0
2026-08-19 16:14:51,ZONE_A,29.46,85.00,1000.13,99.42,4970.00,59.0
2026-08-19 16:14:53,ZONE_A,29.47,85.00,1000.09,99.74,4770.83,54.0
2026-08-19 16:14:55,ZONE_A,29.47,85.00,1000.15,99.25,4938.33,52.0
2026-08-19 16:14:57,ZONE_A,29.49,85.00,1000.11,99.61,4792.50,68.0
2026-08-19 16:14:59,ZONE_A,29.50,85.00,1000.17,99.08,4792.50,63.0
2026-08-19 16:15:01,ZONE_A,29.50,85.00,1000.13,99.45,4876.67,48.0
2026-08-19 16:15:03,ZONE_A,29.50,85.00,1000.11,99.47,4726.67,58.0
2026-08-19 16:15:05,ZONE_A,29.51,85.00,1000.14,99.33,5253.33,55.0
2026-08-19 16:15:07,ZONE_A,29.53,85.00,1000.15,99.27,3854.17,56.0
2026-08-19 16:15:09,ZONE_A,29.52,85.00,1000.12,99.53,5165.00,64.0
2026-08-19 16:15:11,ZONE_A,29.53,85.00,1000.14,99.38,5209.17,46.0
2026-08-19 16:15:13,ZONE_A,29.52,85.00,1000.15,99.22,5249.17,63.0
2026-08-19 16:15:15,ZONE_A,29.53,85.00,1000.11,99.59,5204.17,57.0
2026-08-19 16:15:17,ZONE_A,29.54,85.00,1000.16,99.20,5174.17,65.0
2026-08-19 16:15:19,ZONE_A,29.52,85.00,1000.14,99.33,5258.33,59.0
2026-08-19 16:15:21,ZONE_A,29.52,85.00,1000.16,99.16,5176.67,57.0
2026-08-19 16:15:23,ZONE_A,29.52,85.00,1000.12,99.53,5076.67,57.0
2026-08-19 16:15:25,ZONE_A,29.50,85.00,1000.11,99.55,4889.17,37.0
2026-08-19 16:15:27,ZONE_A,29.51,85.00,1000.10,99.64,4568.33,50.0
2026-08-19 16:15:29,ZONE_A,29.49,85.00,1000.13,99.40,4855.83,50.0
2026-08-19 16:15:31,ZONE_A,29.48,85.00,1000.15,99.22,5057.50,57.0
2026-08-19 16:15:33,ZONE_A,29.47,85.00,1000.16,99.17,5033.33,66.0
2026-08-19 16:15:35,ZONE_A,29.44,85.00,1000.17,99.07,5183.33,35.0
2026-08-19 16:15:37,ZONE_A,29.39,85.00,1000.29,98.08,5227.50,49.0
2026-08-19 16:15:39,ZONE_A,29.36,85.00,1000.19,98.93,4793.33,80.0
2026-08-19 16:15:41,ZONE_A,29.34,85.00,1000.10,99.64,4949.17,57.0
2026-08-19 16:15:43,ZONE_A,29.32,85.00,1000.14,99.33,5298.33,64.0
2026-08-19 16:15:45,ZONE_A,29.30,85.00,1000.15,99.22,5491.67,76.0
2026-08-19 16:15:47,ZONE_A,29.29,85.00,1000.22,98.68,5468.33,85.0
2026-08-19 16:15:49,ZONE_A,29.27,85.00,1000.16,99.19,5817.50,59.0
2026-08-19 16:15:51,ZONE_A,29.28,85.00,1000.09,99.75,5609.17,44.0
2026-08-19 16:15:53,ZONE_A,29.27,86.00,1000.10,99.64,5583.33,46.0
2026-08-19 16:15:55,ZONE_A,29.26,86.00,1000.11,99.56,5254.17,51.0
2026-08-19 16:15:57,ZONE_A,29.25,86.00,1000.17,99.12,5265.83,87.0
2026-08-19 16:15:59,ZONE_A,29.25,86.00,1000.13,99.16,5668.33,62.0
2026-08-19 16:16:01,ZONE_A,29.22,86.00,1000.07,99.95,5228.33,53.0
2026-08-19 16:16:03,ZONE_A,29.25,86.00,1000.14,99.31,5355.83,55.0
2026-08-19 16:16:05,ZONE_A,29.22,86.00,1000.09,99.80,5461.67,58.0
2026-08-19 16:16:07,ZONE_A,29.24,86.00,1000.12,99.54,5897.50,68.0
2026-08-19 16:16:09,ZONE_A,29.24,86.00,1000.06,100.03,6004.17,75.0
2026-08-19 16:16:11,ZONE_A,29.21,86.00,1000.01,100.39,6547.50,44.0
2026-08-19 16:16:13,ZONE_A,29.18,86.00,1000.16,99.21,5861.67,62.0
2026-08-19 16:16:15,ZONE_A,29.15,86.00,1000.09,99.76,5245.83,62.0
2026-08-19 16:16:17,ZONE_A,29.15,86.00,1000.08,99.83,6462.50,57.0
2026-08-19 16:16:19,ZONE_A,29.15,86.00,1000.03,100.27,5801.67,61.0
2026-08-19 16:16:21,ZONE_A,29.19,86.00,1000.09,99.74,5055.00,61.0
2026-08-19 16:16:23,ZONE_A,29.20,87.00,1000.10,99.64,6225.83,59.0
2026-08-19 16:16:25,ZONE_A,29.22,87.00,1000.13,99.40,6024.17,54.0
2026-08-19 16:16:27,ZONE_A,29.24,87.00,1000.07,99.96,6378.33,54.0
2026-08-19 16:16:29,ZONE_A,29.24,87.00,1000.08,99.80,5862.50,58.0
2026-08-19 16:16:31,ZONE_A,29.25,87.00,1000.12,99.49,6252.50,87.0
2026-08-19 16:16:33,ZONE_A,29.26,87.00,1000.10,99.64,5965.83,41.0
2026-08-19 16:16:35,ZONE_A,29.25,87.00,1000.17,99.10,6633.33,35.0
2026-08-19 16:16:37,ZONE_A,29.22,87.00,1000.09,99.76,6356.67,52.0
2026-08-19 16:16:39,ZONE_A,29.19,87.00,1000.10,99.65,6005.83,48.0
2026-08-19 16:16:41,ZONE_A,29.14,87.00,1000.08,99.83,2849.17,30.0
2026-08-19 16:16:43,ZONE_A,29.03,87.00,999.99,100.63,1110.83,87.0
2026-08-19 16:16:45,ZONE_A,28.98,87.00,1000.05,100.07,209.17,40.0
2026-08-19 16:16:47,ZONE_A,28.94,87.00,1000.09,99.77,1570.00,52.0
2026-08-19 16:16:49,ZONE_A,28.90,87.00,1000.10,99.70,2911.67,49.0
2026-08-19 16:16:51,ZONE_A,28.88,87.00,1000.09,99.78,2375.00,55.0
2026-08-19 16:16:53,ZONE_A,28.90,87.00,1000.03,100.25,3773.33,65.0
2026-08-19 16:16:55,ZONE_A,28.92,87.00,1000.02,100.34,2918.33,53.0
2026-08-19 16:16:57,ZONE_A,28.96,87.00,999.99,100.59,2800.00,55.0
2026-08-19 16:16:59,ZONE_A,28.99,87.00,999.99,100.59,2785.00,48.0
2026-08-19 16:17:01,ZONE_A,29.04,87.00,1000.03,100.27,5315.83,57.0
2026-08-19 16:17:03,ZONE_A,29.06,87.00,1000.04,99.87,1695.00,58.0
2026-08-19 16:17:05,ZONE_A,29.09,87.00,1000.02,100.37,1782.50,66.0
2026-08-19 16:17:07,ZONE_A,29.13,87.00,1000.03,100.29,5136.67,59.0
2026-08-19 16:17:09,ZONE_A,29.15,87.00,1000.06,99.97,5922.50,53.0
2026-08-19 16:17:11,ZONE_A,29.18,87.00,1000.05,100.13,6572.50,50.0
2026-08-19 16:17:13,ZONE_A,29.19,87.00,999.96,100.82,7445.00,55.0
2026-08-19 16:17:15,ZONE_A,29.20,87.00,1000.07,99.94,7546.67,59.0
2026-08-19 16:17:17,ZONE_A,29.17,87.00,1000.05,100.07,6662.50,55.0
2026-08-19 16:17:19,ZONE_A,29.18,87.00,1000.02,100.36,6235.00,62.0
2026-08-19 16:17:21,ZONE_A,29.19,87.00,1000.06,99.97,6495.83,55.0
2026-08-19 16:17:23,ZONE_A,29.21,87.00,1000.04,100.15,6575.83,57.0
2026-08-19 16:17:25,ZONE_A,29.22,88.00,1000.00,100.52,6670.00,77.0
2026-08-19 16:17:27,ZONE_A,29.26,88.00,1000.04,100.15,6885.00,64.0
2026-08-19 16:17:29,ZONE_A,29.30,88.00,1000.04,100.14,6883.33,57.0
2026-08-19 16:17:31,ZONE_A,29.33,88.00,1000.06,100.04,6377.50,62.0
2026-08-19 16:17:33,ZONE_A,29.35,88.00,1000.04,100.22,6725.83,67.0
2026-08-19 16:17:35,ZONE_A,29.37,88.00,1000.04,100.18,6661.67,51.0
2026-08-19 16:17:37,ZONE_A,29.38,88.00,1000.06,100.04,4683.33,55.0
2026-08-19 16:17:39,ZONE_A,29.30,88.00,1000.06,99.99,4271.67,55.0
2026-08-19 16:17:41,ZONE_A,29.26,88.00,1000.05,100.12,4397.50,56.0
2026-08-19 16:17:43,ZONE_A,29.19,88.00,1000.03,100.23,3250.83,64.0
2026-08-19 16:17:45,ZONE_A,29.13,88.00,1000.03,100.24,4730.83,54.0
2026-08-19 16:17:47,ZONE_A,29.11,88.00,1000.00,100.49,3956.67,65.0
2026-08-19 16:17:49,ZONE_A,29.11,88.00,1000.01,100.40,3969.17,63.0
2026-08-19 16:17:51,ZONE_A,29.08,88.00,1000.05,100.06,4172.50,59.0
2026-08-19 16:17:53,ZONE_A,29.10,88.00,1000.01,100.39,4070.00,55.0
2026-08-19 16:17:55,ZONE_A,29.10,87.00,1000.02,100.35,3956.67,68.0
2026-08-19 16:17:57,ZONE_A,29.12,87.00,1000.01,100.45,3969.17,54.0
2026-08-19 16:17:59,ZONE_A,29.13,87.00,999.99,100.63,3956.67,50.0
2026-08-19 16:18:01,ZONE_A,29.14,87.00,1000.00,100.55,4025.83,58.0
2026-08-19 16:18:03,ZONE_A,29.16,87.00,1000.01,100.43,4146.67,62.0
2026-08-19 16:18:05,ZONE_A,29.12,88.00,999.99,100.57,7053.33,59.0
2026-08-19 16:18:07,ZONE_A,29.09,88.00,1000.01,100.47,7419.17,73.0
2026-08-19 16:18:09,ZONE_A,29.10,88.00,1000.07,99.91,8867.50,62.0
2026-08-19 16:18:11,ZONE_A,29.08,88.00,1000.10,99.71,8705.83,45.0
2026-08-19 16:18:13,ZONE_A,29.06,88.00,1000.07,99.91,8398.33,60.0
2026-08-19 16:18:15,ZONE_A,29.09,88.00,1000.03,100.24,6844.17,57.0
2026-08-19 16:18:17,ZONE_A,29.10,88.00,1000.03,100.26,4955.83,59.0
2026-08-19 16:18:19,ZONE_A,29.10,88.00,1000.05,100.12,2887.50,58.0
2026-08-19 16:18:21,ZONE_A,29.07,88.00,1000.02,100.33,2452.50,59.0
2026-08-19 16:18:23,ZONE_A,29.08,88.00,1000.04,100.19,3529.17,59.0
2026-08-19 16:18:25,ZONE_A,29.10,88.00,999.96,100.84,6133.33,79.0
2026-08-19 16:18:27,ZONE_A,29.11,88.00,1000.01,100.44,5521.67,49.0
2026-08-19 16:18:29,ZONE_A,29.12,88.00,1000.01,100.43,5445.83,61.0
2026-08-19 16:18:31,ZONE_A,29.14,88.00,1000.00,100.52,5122.50,74.0
2026-08-19 16:18:33,ZONE_A,29.17,88.00,999.99,100.61,5495.83,54.0
2026-08-19 16:18:35,ZONE_A,29.14,88.00,999.96,100.85,5543.33,62.0
2026-08-19 16:18:37,ZONE_A,29.14,88.00,1000.00,100.51,5605.00,66.0
2026-08-19 16:18:39,ZONE_A,29.15,88.00,999.99,100.59,5518.33,56.0
2026-08-19 16:18:41,ZONE_A,29.15,88.00,999.98,100.73,5552.50,58.0
2026-08-19 16:18:43,ZONE_A,29.15,88.00,999.96,100.83,5694.17,52.0
2026-08-19 16:18:45,ZONE_A,29.16,88.00,999.93,101.08,6116.67,40.0
2026-08-19 16:18:47,ZONE_A,29.17,88.00,1000.01,100.40,5766.67,56.0
2026-08-19 16:18:49,ZONE_A,29.18,88.00,999.99,100.60,5353.33,49.0
2026-08-19 16:18:51,ZONE_A,29.14,88.00,1000.07,99.93,2873.33,60.0
2026-08-19 16:18:53,ZONE_A,29.07,88.00,1000.03,100.22,1583.33,57.0
2026-08-19 16:18:55,ZONE_A,29.05,88.00,1000.11,99.57,1672.50,56.0
2026-08-19 16:18:57,ZONE_A,29.04,88.00,1000.05,100.06,4001.67,46.0
2026-08-19 16:18:59,ZONE_A,29.02,88.00,1000.09,99.76,5048.33,44.0
2026-08-19 16:19:01,ZONE_A,29.01,88.00,1000.09,99.75,5660.00,55.0
2026-08-19 16:19:03,ZONE_A,29.02,88.00,1000.10,99.69,6198.33,63.0
2026-08-19 16:19:05,ZONE_A,29.04,88.00,1000.08,99.86,5496.67,65.0
2026-08-19 16:19:07,ZONE_A,29.04,88.00,1000.06,99.98,6839.17,60.0
2026-08-19 16:19:09,ZONE_A,29.04,88.00,1000.04,100.20,5448.33,59.0
2026-08-19 16:19:11,ZONE_A,29.00,88.00,1000.03,100.22,2488.33,60.0
2026-08-19 16:19:13,ZONE_A,28.99,88.00,1000.00,100.52,2061.67,49.0
2026-08-19 16:19:15,ZONE_A,28.94,88.00,999.99,100.57,2130.83,80.0
2026-08-19 16:19:17,ZONE_A,28.91,88.00,999.97,100.80,2120.83,35.0
2026-08-19 16:19:19,ZONE_A,28.89,88.00,1000.02,100.52,2045.83,55.0
2026-08-19 16:19:21,ZONE_A,28.88,88.00,999.99,100.62,2026.67,59.0
2026-08-19 16:19:23,ZONE_A,28.85,88.00,1000.01,100.43,2316.67,53.0
2026-08-19 16:19:25,ZONE_A,28.85,88.00,999.97,100.79,2552.50,59.0
2026-08-19 16:19:27,ZONE_A,28.86,88.00,1000.00,100.51,3598.33,59.0
2026-08-19 16:19:29,ZONE_A,28.88,88.00,999.97,100.77,3225.83,56.0
2026-08-19 16:19:31,ZONE_A,28.90,88.00,1000.00,100.49,3455.83,55.0
2026-08-19 16:19:33,ZONE_A,28.90,88.00,1000.00,100.52,2289.17,61.0
2026-08-19 16:19:35,ZONE_A,28.91,89.00,999.97,100.73,2520.00,50.0
2026-08-19 16:19:37,ZONE_A,28.93,89.00,1000.00,100.51,2701.67,56.0
2026-08-19 16:19:39,ZONE_A,28.93,89.00,999.95,100.94,2770.83,53.0
2026-08-19 16:19:41,ZONE_A,28.93,89.00,1000.01,100.46,2742.50,58.0
2026-08-19 16:19:43,ZONE_A,28.95,89.00,999.97,100.76,2949.17,38.0
2026-08-19 16:19:45,ZONE_A,28.97,89.00,1000.01,100.43,2911.67,71.0
2026-08-19 16:19:47,ZONE_A,28.93,89.00,1000.08,99.87,4664.17,61.0
2026-08-19 16:19:49,ZONE_A,28.92,89.00,1000.02,100.37,5282.50,54.0
2026-08-19 16:19:51,ZONE_A,28.91,89.00,1000.06,100.03,5456.67,44.0
2026-08-19 16:19:53,ZONE_A,28.90,89.00,1000.15,99.28,6795.00,61.0
2026-08-19 16:19:55,ZONE_A,28.88,89.00,1000.03,100.26,3840.00,84.0
2026-08-19 16:19:57,ZONE_A,28.85,89.00,1000.02,100.32,5545.83,56.0
2026-08-19 16:19:59,ZONE_A,28.86,89.00,1000.03,100.22,6943.33,45.0
2026-08-19 16:20:01,ZONE_A,28.83,89.00,1000.03,100.24,7025.00,57.0
2026-08-19 16:20:03,ZONE_A,28.80,89.00,1000.08,99.81,3974.17,30.0
2026-08-19 16:20:05,ZONE_A,28.75,89.00,1000.13,99.38,3392.50,87.0
2026-08-19 16:20:07,ZONE_A,28.67,89.00,1000.02,100.31,1521.67,37.0
2026-08-19 16:20:09,ZONE_A,28.67,89.00,1000.05,100.10,3667.50,30.0
2026-08-19 16:20:11,ZONE_A,28.66,89.00,1000.08,99.85,4972.50,52.0
2026-08-19 16:20:13,ZONE_A,28.67,89.00,1000.05,100.12,6519.17,51.0
2026-08-19 16:20:15,ZONE_A,28.66,89.00,1000.02,100.31,7905.00,55.0
2026-08-19 16:20:17,ZONE_A,28.71,89.00,1000.02,100.33,7489.17,70.0
2026-08-19 16:20:19,ZONE_A,28.73,89.00,1000.05,100.11,6659.17,61.0
2026-08-19 16:20:21,ZONE_A,28.76,89.00,999.99,100.62,6413.33,59.0
2026-08-19 16:20:23,ZONE_A,28.79,89.00,999.99,100.56,5958.33,50.0
2026-08-19 16:20:25,ZONE_A,28.82,89.00,1000.01,100.40,6312.50,53.0
2026-08-19 16:20:27,ZONE_A,28.81,89.00,999.98,100.68,6321.67,46.0
2026-08-19 16:20:29,ZONE_A,28.81,89.00,1000.04,100.19,7754.17,48.0
2026-08-19 16:20:31,ZONE_A,28.79,89.00,1000.01,100.40,7087.50,65.0
2026-08-19 16:20:33,ZONE_A,28.80,89.00,1000.03,100.24,6074.17,56.0
2026-08-19 16:20:35,ZONE_A,28.83,89.00,1000.03,100.30,6807.50,62.0
2026-08-19 16:20:37,ZONE_A,28.85,89.00,1000.03,100.29,7191.67,60.0
2026-08-19 16:20:39,ZONE_A,28.86,89.00,1000.01,100.40,7486.67,58.0
2026-08-19 16:20:41,ZONE_A,28.89,89.00,1000.01,100.43,7470.00,53.0
2026-08-19 16:20:43,ZONE_A,28.90,89.00,1000.03,100.30,7926.67,56.0
2026-08-19 16:20:45,ZONE_A,28.88,89.00,1000.00,100.51,7244.17,61.0
2026-08-19 16:20:47,ZONE_A,28.88,89.00,999.99,100.64,5526.67,45.0
2026-08-19 16:20:49,ZONE_A,28.88,89.00,1000.02,100.31,6620.83,54.0
2026-08-19 16:20:51,ZONE_A,28.87,89.00,999.99,100.60,6356.67,61.0
2026-08-19 16:20:53,ZONE_A,28.89,89.00,1000.02,100.38,6346.67,43.0
2026-08-19 16:20:55,ZONE_A,28.88,89.00,999.98,100.69,6443.33,54.0
2026-08-19 16:20:57,ZONE_A,28.88,89.00,1000.00,100.52,6475.00,57.0
2026-08-19 16:20:59,ZONE_A,28.87,89.00,1000.02,100.31,6620.00,39.0
2026-08-19 16:21:01,ZONE_A,28.85,89.00,1000.00,100.50,6331.67,55.0
2026-08-19 16:21:03,ZONE_A,28.83,90.00,1000.01,100.43,6697.50,50.0
2026-08-19 16:21:05,ZONE_A,28.81,90.00,999.99,100.60,3213.33,58.0
2026-08-19 16:21:07,ZONE_A,28.81,90.00,1000.04,100.22,5382.50,57.0
2026-08-19 16:21:09,ZONE_A,28.81,90.00,1000.01,100.40,389.17,67.0
2026-08-19 16:21:11,ZONE_A,28.79,90.00,1000.00,100.48,375.83,63.0
2026-08-19 16:21:13,ZONE_A,28.80,90.00,1000.02,100.35,458.33,67.0
2026-08-19 16:21:15,ZONE_A,28.80,90.00,1000.05,99.87,564.17,52.0
2026-08-19 16:21:17,ZONE_A,28.82,90.00,1000.05,100.13,2065.00,67.0
2026-08-19 16:21:19,ZONE_A,28.84,90.00,1000.07,99.97,3490.00,51.0
2026-08-19 16:21:21,ZONE_A,28.84,90.00,1000.08,99.88,5410.00,62.0
2026-08-19 16:21:23,ZONE_A,28.85,90.00,1000.03,100.25,6246.67,63.0
2026-08-19 16:21:25,ZONE_A,28.85,90.00,1000.06,100.02,6048.33,51.0
2026-08-19 16:21:27,ZONE_A,28.88,90.00,1000.05,100.10,5955.83,60.0
2026-08-19 16:21:29,ZONE_A,28.90,90.00,1000.04,100.14,5277.50,60.0
2026-08-19 16:21:31,ZONE_A,28.90,90.00,1000.06,99.97,3933.33,54.0
2026-08-19 16:21:33,ZONE_A,28.88,89.00,1000.05,100.06,1247.50,70.0
2026-08-19 16:21:35,ZONE_A,28.89,89.00,1000.06,100.05,1204.17,74.0
2026-08-19 16:21:37,ZONE_A,28.88,89.00,1000.08,99.86,947.50,48.0
2026-08-19 16:21:39,ZONE_A,28.88,89.00,1000.02,100.37,504.17,59.0
2026-08-19 16:21:41,ZONE_A,28.87,89.00,1000.05,100.12,906.67,58.0
2026-08-19 16:21:43,ZONE_A,28.87,90.00,1000.04,100.15,3624.17,56.0
2026-08-19 16:21:45,ZONE_A,28.90,90.00,1000.05,100.06,899.17,58.0
2026-08-19 16:21:47,ZONE_A,28.91,90.00,1000.03,100.27,496.67,59.0
2026-08-19 16:21:49,ZONE_A,28.92,90.00,1000.03,100.25,511.67,62.0
2026-08-19 16:21:51,ZONE_A,28.93,90.00,1000.06,100.00,508.33,59.0
2026-08-19 16:21:53,ZONE_A,28.94,90.00,1000.05,100.11,460.83,58.0
2026-08-19 16:21:55,ZONE_A,28.94,90.00,1000.04,100.16,550.00,55.0
2026-08-19 16:21:57,ZONE_A,28.95,90.00,1000.06,100.03,582.50,57.0
2026-08-19 16:21:59,ZONE_A,28.95,90.00,1000.04,100.19,589.17,60.0
2026-08-19 16:22:01,ZONE_A,28.96,90.00,1000.05,100.09,577.50,49.0
2026-08-19 16:22:03,ZONE_A,28.96,90.00,1000.05,100.05,513.33,63.0
2026-08-19 16:22:05,ZONE_A,28.95,90.00,1000.03,100.24,559.17,39.0
2026-08-19 16:22:07,ZONE_A,28.96,90.00,1000.04,100.17,555.83,56.0
2026-08-19 16:22:09,ZONE_A,28.96,90.00,1000.04,100.14,546.67,64.0
2026-08-19 16:22:11,ZONE_A,28.95,90.00,1000.02,100.33,557.50,74.0
2026-08-19 16:22:13,ZONE_A,28.94,90.00,1000.06,100.00,551.67,83.0
2026-08-19 16:22:15,ZONE_A,28.94,90.00,1000.05,100.13,546.67,59.0
2026-08-19 16:22:17,ZONE_A,28.95,90.00,1000.06,99.97,548.33,59.0
2026-08-19 16:22:19,ZONE_A,28.96,90.00,1000.06,99.97,545.00,32.0
2026-08-19 16:22:21,ZONE_A,28.97,90.00,1000.03,100.26,545.00,58.0
2026-08-19 16:22:23,ZONE_A,28.99,90.00,1000.05,100.12,555.00,55.0
2026-08-19 16:22:25,ZONE_A,29.00,90.00,1000.04,100.21,548.33,51.0
2026-08-19 16:22:27,ZONE_A,28.99,90.00,1000.05,100.12,528.33,57.0
2026-08-19 16:22:29,ZONE_A,28.99,90.00,1000.05,100.11,520.83,59.0
2026-08-19 16:22:31,ZONE_A,28.99,90.00,1000.07,99.93,571.67,54.0
2026-08-19 16:22:33,ZONE_A,29.01,90.00,1000.05,100.06,138.33,54.0
2026-08-19 16:22:35,ZONE_A,28.96,90.00,1000.03,100.25,462.50,56.0
2026-08-19 16:22:37,ZONE_A,28.94,90.00,1000.02,100.32,275.83,61.0
2026-08-19 16:22:39,ZONE_A,28.93,90.00,1000.05,100.10,522.50,66.0
